run_id,strategy,seed,step,state_before,state_after,locked
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,3,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,4,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,5,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,6,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,7,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,8,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,9,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,10,verify,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,11,verify,lock,True
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,12,lock,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260902,ramsey_baseline,20260902,13,safe_stop,safe_stop,True
process__short_pulse__track__m10.0mhz__s20260903,short_pulse,20260903,0,acquire,track,True
process__short_pulse__track__m10.0mhz__s20260903,short_pulse,20260903,1,track,track,True
process__short_pulse__track__m10.0mhz__s20260903,short_pulse,20260903,2,track,track,True
process__short_pulse__track__m10.0mhz__s20260903,short_pulse,20260903,3,track,verify,True
process__short_pulse__track__m10.0mhz__s20260903,short_pulse,20260903,4,verify,track,True
process__short_pulse__track__m10.0mhz__s20260903,short_pulse,20260903,5,track,verify,True
process__short_pulse__track__m10.0mhz__s20260903,short_pulse,20260903,6,verify,track,True
process__short_pulse__track__m10.0mhz__s20260903,short_pulse,20260903,7,track,verify,True
process__short_pulse__track__m10.0mhz__s20260903,short_pulse,20260903,8,verify,verify,True
process__short_pulse__track__m10.0mhz__s20260903,short_pulse,20260903,9,verify,lock,True
process__short_pulse__track__m10.0mhz__s20260903,short_pulse,20260903,10,lock,verify,True
process__short_pulse__track__m10.0mhz__s20260903,short_pulse,20260903,11,safe_stop,safe_stop,True
process__ramsey_baseline__track__m10.0mhz__s20260903,ramsey_baseline,20260903,0,acquire,track,True
process__ramsey_baseline__track__m10.0mhz__s20260903,ramsey_baseline,20260903,1,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260903,ramsey_baseline,20260903,2,track,track,True
