import time: self [us] | cumulative | imported package
import time:      4751 |       4751 |         matplotlib.ft2font
import time:       554 |        554 |         dateutil._version
import time:      1335 |       1335 |           kiwisolver.exceptions
import time:      1271 |       2605 |         kiwisolver._cext
import time:      3629 |       3629 |           numpy.ma.core
import time:      1734 |       1734 |           numpy.ma.extras
import time:      1071 |       6434 |         numpy.ma
import time:      2284 |       2284 |             matplotlib.artist
import time:      1196 |       3479 |           matplotlib.colorizer
import time:      1604 |       1604 |           matplotlib._cm_listed
import time:      1065 |       1065 |           matplotlib._cm_multivar
import time:       890 |        890 |           matplotlib._cm_bivar
import time:      2494 |       9530 |         matplotlib.cm
import time:      7908 |     139079 |       matplotlib
import time:       439 |        439 |           qutip.core.numpy_backend
import time:       701 |       1140 |         qutip.core.options
import time:       708 |        708 |             scipy.__config__
import time:       440 |        440 |             scipy.version
import time:        64 |         64 |               scipy._distributor_init_local
import time:       537 |        600 |             scipy._distributor_init
import time:      1457 |       1457 |                 sysconfig
import time:       171 |        171 |                         __builtin__
import time:       118 |        118 |                         __builtin__
import time:      2071 |       2359 |                       Cython.Shadow
import time:       525 |       2884 |                     Cython
import time:        22 |       2906 |                   Cython.Shadow
import time:       540 |       3446 |                 cython
import time:       615 |        615 |                   Cython.Compiler
import time:       848 |       1463 |                 Cython.Compiler.Version
import time:      1699 |       1699 |                 scipy._lib._pep440
import time:        44 |         44 |                 _sysconfig
import time:      1657 |       9762 |               scipy._lib._testutils
import time:       395 |      10156 |             scipy._lib
import time:       936 |        936 |               scipy._lib._ccallback_c
import time:       638 |       1573 |             scipy._lib._ccallback
import time:       804 |      14279 |           scipy
import time:       765 |        765 |                 scipy.special._sf_error
import time:      1827 |       1827 |                   scipy.special._ufuncs_cxx
import time:       922 |        922 |                   scipy.special._ellip_harm_2
import time:      1343 |       1343 |                   scipy.special._special_ufuncs
import time:       937 |        937 |                   scipy.special._gufuncs
import time:      2829 |       7856 |                 scipy.special._ufuncs
import time:      1009 |       1009 |                           scipy._lib.array_api_compat.common._typing
import time:       738 |       1747 |                         scipy._lib.array_api_compat.common._helpers
import time:       549 |       2296 |                       scipy._lib.array_api_compat.common
import time:       411 |       2707 |                     scipy._lib.array_api_compat
import time:      1219 |       1219 |                             numpy.random._common
import time:      2986 |       2986 |                                 _hashlib
import time:        76 |         76 |                                   _blake2
import time:      1097 |       1173 |                                 hashlib
import time:       679 |       4837 |                               hmac
